"","Frame","Clock","x","y","h","w","label","score","FileName","diff","Event"
"142",26373,"0:17:34",545,283,417,247,NA,NA,"VT0115_S1_VP7_20190607",1,15
"143",26374,"0:17:34",516,278,322,231,NA,NA,"VT0115_S1_VP7_20190607",1,15
"144",26375,"0:17:35",543,237,352,214,NA,NA,"VT0115_S1_VP7_20190607",1,15
"145",26376,"0:17:35",598,201,428,232,NA,NA,"VT0115_S1_VP7_20190607",1,15
"146",26377,"0:17:35",627,162,320,253,NA,NA,"VT0115_S1_VP7_20190607",1,15
"147",26379,"0:17:35",684,271,149,128,NA,NA,"VT0115_S1_VP7_20190607",2,15
"148",32115,"0:21:24",863,520,200,232,NA,NA,"VT0115_S1_VP7_20190607",5736,16
"149",32116,"0:21:24",566,407,313,430,NA,NA,"VT0115_S1_VP7_20190607",1,16
"150",32117,"0:21:24",520,308,386,502,NA,NA,"VT0115_S1_VP7_20190607",1,16
"151",32118,"0:21:24",503,189,419,585,NA,NA,"VT0115_S1_VP7_20190607",1,16
"152",32119,"0:21:24",537,182,405,513,NA,NA,"VT0115_S1_VP7_20190607",1,16
"153",32120,"0:21:24",641,160,340,248,NA,NA,"VT0115_S1_VP7_20190607",1,16
"154",32121,"0:21:24",637,150,340,298,NA,NA,"VT0115_S1_VP7_20190607",1,16
"155",32122,"0:21:24",816,221,149,160,NA,NA,"VT0115_S1_VP7_20190607",1,16
"156",32122,"0:21:24",548,194,117,133,NA,NA,"VT0115_S1_VP7_20190607",0,16
"157",32123,"0:21:24",608,139,203,261,NA,NA,"VT0115_S1_VP7_20190607",1,16
"158",32158,"0:21:26",781,183,176,66,NA,NA,"VT0115_S1_VP7_20190607",35,17
"159",32159,"0:21:26",770,191,194,89,NA,NA,"VT0115_S1_VP7_20190607",1,17
"160",32162,"0:21:26",625,221,244,251,NA,NA,"VT0115_S1_VP7_20190607",3,17
"161",32163,"0:21:26",581,172,346,212,NA,NA,"VT0115_S1_VP7_20190607",1,17
"162",32163,"0:21:26",783,224,183,118,NA,NA,"VT0115_S1_VP7_20190607",0,17
"163",32164,"0:21:26",767,272,327,228,NA,NA,"VT0115_S1_VP7_20190607",1,17
"164",32164,"0:21:26",530,300,239,244,NA,NA,"VT0115_S1_VP7_20190607",0,17
"165",32164,"0:21:26",658,89,79,156,NA,NA,"VT0115_S1_VP7_20190607",0,17
"166",32165,"0:21:26",613,206,471,383,NA,NA,"VT0115_S1_VP7_20190607",1,17
"167",32166,"0:21:26",645,217,412,429,NA,NA,"VT0115_S1_VP7_20190607",1,17
"168",32167,"0:21:26",648,319,401,454,NA,NA,"VT0115_S1_VP7_20190607",1,17
"169",32167,"0:21:26",760,541,165,167,NA,NA,"VT0115_S1_VP7_20190607",0,17
"170",32168,"0:21:26",956,472,248,213,NA,NA,"VT0115_S1_VP7_20190607",1,17
"171",32258,"0:21:30",685,217,114,103,NA,NA,"VT0115_S1_VP7_20190607",90,18
"172",32259,"0:21:30",672,209,169,141,NA,NA,"VT0115_S1_VP7_20190607",1,18
"173",32260,"0:21:30",672,258,233,161,NA,NA,"VT0115_S1_VP7_20190607",1,18
"174",32261,"0:21:30",517,202,486,460,NA,NA,"VT0115_S1_VP7_20190607",1,18
"175",32261,"0:21:30",662,217,365,328,NA,NA,"VT0115_S1_VP7_20190607",0,18
"176",32261,"0:21:30",537,425,135,76,NA,NA,"VT0115_S1_VP7_20190607",0,18
"177",32262,"0:21:30",709,382,315,202,NA,NA,"VT0115_S1_VP7_20190607",1,18
"178",32285,"0:21:31",973,637,83,207,NA,NA,"VT0115_S1_VP7_20190607",23,19
"179",32286,"0:21:31",790,545,175,251,NA,NA,"VT0115_S1_VP7_20190607",1,19
"180",32287,"0:21:31",650,435,272,282,NA,NA,"VT0115_S1_VP7_20190607",1,19
"181",32287,"0:21:31",880,581,128,91,NA,NA,"VT0115_S1_VP7_20190607",0,19
"182",32288,"0:21:31",538,343,346,544,NA,NA,"VT0115_S1_VP7_20190607",1,19
"183",32289,"0:21:31",716,223,459,267,NA,NA,"VT0115_S1_VP7_20190607",1,19
"184",32290,"0:21:31",651,208,418,280,NA,NA,"VT0115_S1_VP7_20190607",1,19
"185",32291,"0:21:31",568,184,323,324,NA,NA,"VT0115_S1_VP7_20190607",1,19
"186",32292,"0:21:31",560,154,315,169,NA,NA,"VT0115_S1_VP7_20190607",1,19
"187",32298,"0:21:31",666,239,150,72,NA,NA,"VT0115_S1_VP7_20190607",6,19
"188",32311,"0:21:32",655,107,135,130,NA,NA,"VT0115_S1_VP7_20190607",13,19
"189",32314,"0:21:32",709,105,80,136,NA,NA,"VT0115_S1_VP7_20190607",3,19
"190",32317,"0:21:32",719,88,112,142,NA,NA,"VT0115_S1_VP7_20190607",3,19
"191",32322,"0:21:32",754,55,136,130,NA,NA,"VT0115_S1_VP7_20190607",5,19
"192",32342,"0:21:33",725,120,84,156,NA,NA,"VT0115_S1_VP7_20190607",20,19
"193",32343,"0:21:33",704,86,120,146,NA,NA,"VT0115_S1_VP7_20190607",1,19
"194",32547,"0:21:41",0,431,289,557,NA,NA,"VT0115_S1_VP7_20190607",204,20
"195",32548,"0:21:41",464,347,373,613,NA,NA,"VT0115_S1_VP7_20190607",1,20
"196",32549,"0:21:41",994,416,304,286,NA,NA,"VT0115_S1_VP7_20190607",1,20
"197",34369,"0:22:54",631,200,184,183,NA,NA,"VT0115_S1_VP7_20190607",1820,21
"198",34370,"0:22:54",505,93,446,484,NA,NA,"VT0115_S1_VP7_20190607",1,21
"199",34370,"0:22:54",513,147,119,160,NA,NA,"VT0115_S1_VP7_20190607",0,21
"200",34371,"0:22:54",638,277,420,263,NA,NA,"VT0115_S1_VP7_20190607",1,21
"201",34372,"0:22:54",652,413,288,319,NA,NA,"VT0115_S1_VP7_20190607",1,21
"202",34706,"0:23:08",653,613,107,159,NA,NA,"VT0115_S1_VP7_20190607",334,22
"203",34707,"0:23:08",512,493,227,487,NA,NA,"VT0115_S1_VP7_20190607",1,22
"204",34708,"0:23:08",510,382,320,518,NA,NA,"VT0115_S1_VP7_20190607",1,22
"205",34709,"0:23:08",516,253,440,409,NA,NA,"VT0115_S1_VP7_20190607",1,22
"206",34710,"0:23:08",593,209,432,255,NA,NA,"VT0115_S1_VP7_20190607",1,22
"207",34711,"0:23:08",636,165,391,193,NA,NA,"VT0115_S1_VP7_20190607",1,22
"208",34712,"0:23:08",672,157,325,165,NA,NA,"VT0115_S1_VP7_20190607",1,22
"209",37474,"0:24:58",844,643,77,159,NA,NA,"VT0115_S1_VP7_20190607",2762,23
"210",37475,"0:24:59",768,579,141,252,NA,NA,"VT0115_S1_VP7_20190607",1,23
"211",37476,"0:24:59",585,497,223,328,NA,NA,"VT0115_S1_VP7_20190607",1,23
"212",37477,"0:24:59",572,453,267,300,NA,NA,"VT0115_S1_VP7_20190607",1,23
"213",37478,"0:24:59",513,403,314,352,NA,NA,"VT0115_S1_VP7_20190607",1,23
"214",37479,"0:24:59",528,359,339,302,NA,NA,"VT0115_S1_VP7_20190607",1,23
"215",37480,"0:24:59",541,445,219,358,NA,NA,"VT0115_S1_VP7_20190607",1,23
"216",37481,"0:24:59",832,471,217,122,NA,NA,"VT0115_S1_VP7_20190607",1,23
"217",37482,"0:24:59",887,483,211,173,NA,NA,"VT0115_S1_VP7_20190607",1,23
"218",37482,"0:24:59",712,494,196,225,NA,NA,"VT0115_S1_VP7_20190607",0,23
"219",37483,"0:24:59",865,440,234,326,NA,NA,"VT0115_S1_VP7_20190607",1,23
"220",37484,"0:24:59",938,469,245,278,NA,NA,"VT0115_S1_VP7_20190607",1,23
"221",37485,"0:24:59",1051,469,251,229,NA,NA,"VT0115_S1_VP7_20190607",1,23
"222",37490,"0:24:59",654,238,105,140,NA,NA,"VT0115_S1_VP7_20190607",5,23
"223",37491,"0:24:59",612,231,222,215,NA,NA,"VT0115_S1_VP7_20190607",1,23
"224",37492,"0:24:59",499,217,400,528,NA,NA,"VT0115_S1_VP7_20190607",1,23
"225",37493,"0:24:59",652,382,317,166,NA,NA,"VT0115_S1_VP7_20190607",1,23
"226",37494,"0:24:59",561,600,120,233,NA,NA,"VT0115_S1_VP7_20190607",1,23
"227",37585,"0:25:03",662,647,73,262,NA,NA,"VT0115_S1_VP7_20190607",91,24
"228",37586,"0:25:03",673,493,227,292,NA,NA,"VT0115_S1_VP7_20190607",1,24
"229",37587,"0:25:03",619,439,281,265,NA,NA,"VT0115_S1_VP7_20190607",1,24
"230",37588,"0:25:03",511,441,270,242,NA,NA,"VT0115_S1_VP7_20190607",1,24
"231",37589,"0:25:03",504,384,322,218,NA,NA,"VT0115_S1_VP7_20190607",1,24
"232",37590,"0:25:03",507,245,459,275,NA,NA,"VT0115_S1_VP7_20190607",1,24
