"","DVDNumber","FocalID","PartnerID","Year","DayOfYear","TypeOfCare","BroodName","DVDRef.x","DVDRef.y","TapeLength","Protocol","Observer","BroodRef","Situation","Deaths","OffspringNo","Age","Wrong","DVDdate","DVDtime","Weather","Wind","Notes"
"59","40058",903,354,2004,130,"Prov","D042",58,58,86.80000305,1,"",479,4,FALSE,3,3,FALSE,"9/5/2004","0/1/1900",1,2,""
"60","40059",819,602,2004,130,"Prov","D043",59,59,93.69999695,1,"",480,4,FALSE,2,3,FALSE,"9/5/2004","0/1/1900",1,2,"DUNCAN'S VERSION"
"61","40060",256,132,2004,130,"Inc","D056",60,60,92.5,NA,"",493,2,FALSE,4,11,FALSE,"9/5/2004","0/1/1900",1,2,""
"62","40061",540,383,2004,130,"Prov","D044",61,61,93.80000305,NA,"",481,4,FALSE,3,3,FALSE,"9/5/2004","0/1/1900",1,2,""
"63","40062",512,765,2004,130,"Inc","D061",62,62,93.80000305,NA,"",498,2,FALSE,4,11,FALSE,"9/5/2004","0/1/1900",1,2,""
"64","40063",723,24,2004,131,"Prov","D047",63,63,93.69999695,1,"",484,4,FALSE,4,3,FALSE,"10/5/2004","0/1/1900",2,0,""
"65","40064",4382,984,2004,131,"Inc","D071",64,64,93.69999695,NA,"",508,2,FALSE,3,11,FALSE,"10/5/2004","0/1/1900",2,0,""
"66","40065",4501,4417,2004,131,"Inc","D070",65,65,93.80000305,NA,"",507,2,FALSE,3,11,FALSE,"10/5/2004","0/1/1900",2,0,""
"67","40066",427,22,2004,131,"Prov","D046",66,66,93.80000305,1,"",483,4,FALSE,5,3,FALSE,"10/5/2004","0/1/1900",2,0,""
"68","40067",206,663,2004,131,"Inc","D068",67,67,93.80000305,NA,"",505,2,FALSE,5,11,FALSE,"10/5/2004","0/1/1900",2,0,""
"69","40068",309,4326,2004,131,"Inc","D065",68,68,93.69999695,NA,"",502,2,FALSE,4,11,FALSE,"10/5/2004","0/1/1900",2,0,""
"70","40069",1100,831,2004,132,"Prov","D035",69,69,93.69999695,1,"",472,4,FALSE,2,7,FALSE,"11/5/2004","0/1/1900",1,1,""
"71","40070",929,46,2004,132,"Prov","D049",70,70,93.80000305,1,"",486,4,FALSE,2,3,FALSE,"11/5/2004","0/1/1900",1,1,""
"72","40071",419,4503,2004,132,"Prov","D020",71,71,93.69999695,1,"",457,4,FALSE,1,11,FALSE,"11/5/2004","0/1/1900",1,1,""
"73","40072",1048,902,2004,132,"Prov","D019",72,72,93.80000305,1,"",456,4,TRUE,0,11,FALSE,"11/5/2004","0/1/1900",1,1,"CHI 1->0C11D (UNFINISHED)"
"74","40073",960,650,2004,133,"Prov","D050",73,73,93.59999847,1,"",487,4,FALSE,1,3,FALSE,"12/5/2004","0/1/1900",1,1,""
"75","40074",571,4423,2004,133,"Prov","D038",74,74,92.5,1,"",475,4,FALSE,2,7,FALSE,"12/5/2004","0/1/1900",1,1,""
"76","40075",605,4423,2004,133,"Prov","D025",75,75,92.59999847,1,"",462,4,FALSE,2,11,FALSE,"12/5/2004","0/1/1900",1,1,""
"77","40076",371,4230,2004,134,"Prov","D051",76,76,93.69999695,1,"",488,4,FALSE,3,3,FALSE,"13/5/2004","0/1/1900",1,0,""
"78","40077",416,4418,2004,134,"Prov","D052",77,77,93.80000305,1,"",489,4,FALSE,2,3,FALSE,"13/5/2004","0/1/1900",1,0,""
"79","40078",955,591,2004,134,"Prov","D053",78,78,93.69999695,1,"",490,4,FALSE,4,3,FALSE,"13/5/2004","0/1/1900",1,0,""
"80","40079",988,145,2004,134,"Prov","D040",79,79,93.69999695,1,"",477,4,FALSE,1,7,FALSE,"13/5/2004","0/1/1900",1,0,""
"81","40080",1074,4422,2004,134,"Prov","D054",80,80,93.80000305,1,"",491,4,FALSE,3,3,FALSE,"13/5/2004","0/1/1900",1,0,""
"82","40081",32,4229,2004,134,"Prov","D027",81,81,93.69999695,1,"",464,4,FALSE,3,11,FALSE,"13/5/2004","0/1/1900",1,0,""
"83","40082",346,4264,2004,135,"Prov","D057",82,82,92.69999695,1,"",494,4,FALSE,4,3,FALSE,"14/5/2004","0/1/1900",1,0,""
"84","40083",927,466,2004,135,"Prov","D058",83,83,93.80000305,1,"",495,4,FALSE,4,3,FALSE,"14/5/2004","0/1/1900",1,0,""
"85","40084",723,24,2004,135,"Prov","D047",84,84,93.69999695,1,"",484,4,FALSE,3,7,FALSE,"14/5/2004","0/1/1900",1,0,""
"86","40085",512,765,2004,135,"Prov","D061",85,85,93.69999695,1,"",498,4,FALSE,4,2,FALSE,"14/5/2004","0/1/1900",1,0,""
"87","40086",256,132,2004,135,"Prov","D056",86,86,93.69999695,1,"",493,4,FALSE,4,3,FALSE,"14/5/2004","0/1/1900",1,1,""
"88","40087",76,287,2004,135,"Prov","D059",87,87,93.69999695,1,"",496,4,FALSE,3,3,FALSE,"14/5/2004","0/1/1900",1,1,""
"89","40088",857,4247,2004,136,"Prov","D063",88,88,93.80000305,1,"",500,4,FALSE,2,3,FALSE,"15/5/2004","0/1/1900",0,0,""
"90","40089",1100,831,2004,136,"Prov","D035",89,89,93.09999847,1,"",472,4,FALSE,2,11,FALSE,"15/5/2004","0/1/1900",0,0,""
"91","40090",929,46,2004,136,"Prov","D049",90,90,93.69999695,1,"",486,4,FALSE,1,7,FALSE,"15/5/2004","0/1/1900",0,0,""
"92","40091",512,765,2004,136,"Prov","D061",91,91,93.69999695,1,"",498,4,TRUE,3,3,FALSE,"15/5/2004","0/1/1900",0,0,"CHI 4->2C3D"
"93","40092",428,4421,2004,136,"Prov","D060",92,92,93.69999695,1,"",497,4,FALSE,5,3,FALSE,"15/5/2004","0/1/1900",0,0,""
"94","40093",592,418,2004,136,"Inc","D072",93,93,93.69999695,NA,"",509,2,FALSE,4,11,FALSE,"15/5/2004","0/1/1900",0,0,""
"95","40094",604,4304,2004,136,"Prov","D064",94,94,93.69999695,1,"",501,4,FALSE,1,3,FALSE,"15/5/2004","0/1/1900",0,0,""
"96","40095",4424,590,2004,136,"Inc","D074",95,95,93.90000153,NA,"",511,2,FALSE,4,11,FALSE,"15/5/2004","0/1/1900",0,0,""
"97","40096",1054,823,2004,136,"Inc","D073",96,96,93.90000153,NA,"",510,2,FALSE,4,11,FALSE,"15/5/2004","0/1/1900",0,0,""
"98","40097",309,4326,2004,137,"Prov","D065",97,97,93.69999695,1,"",502,4,FALSE,4,3,FALSE,"16/5/2004","0/1/1900",0,0,""
"99","40098",206,663,2004,137,"Prov","D068",98,98,93.59999847,1,"",505,4,FALSE,4,3,FALSE,"16/5/2004","0/1/1900",0,0,""
"100","40099",571,4423,2004,137,"Prov","D038",99,99,93.69999695,1,"",475,4,FALSE,2,11,FALSE,"16/5/2004","0/1/1900",0,0,""
"101","40100",471,661,2004,137,"Inc","D077",100,100,93.69999695,NA,"",514,2,FALSE,4,10,FALSE,"16/5/2004","0/1/1900",0,0,""
"102","40101",438,11,2004,137,"Inc","D075",101,101,93.19999695,NA,"",512,2,FALSE,4,11,FALSE,"16/5/2004","0/1/1900",0,0,""
"103","40102",4290,4275,2004,137,"Inc","D076",102,102,93.90000153,NA,"",513,2,FALSE,4,11,FALSE,"16/5/2004","0/1/1900",0,0,""
"104","40103",1074,4422,2004,138,"Prov","D054",103,103,93.59999847,1,"",491,4,FALSE,2,7,FALSE,"17/5/2004","0/1/1900",0,1,""
"105","40104",309,4326,2004,138,"Prov","D065",104,104,93.80000305,NA,"",502,4,FALSE,3,4,TRUE,"17/5/2004","0/1/1900",0,1,""
"106","40105",416,4418,2004,138,"Prov","D052",105,105,93.69999695,1,"",489,4,FALSE,1,7,FALSE,"17/5/2004","0/1/1900",0,0,""
"107","40106",371,4230,2004,138,"Prov","D051",106,106,93.69999695,1,"",488,4,FALSE,2,7,FALSE,"17/5/2004","0/1/1900",0,0,""
"108","40107",988,145,2004,138,"Prov","D040",107,107,93.69999695,1,"",477,4,FALSE,1,11,FALSE,"17/5/2004","0/1/1900",0,0,""
"109","40108",955,591,2004,138,"Prov","D053",108,108,93.69999695,1,"",490,4,FALSE,3,7,FALSE,"17/5/2004","0/1/1900",0,0,""
"110","40109",256,132,2004,139,"Prov","D056",109,109,93.69999695,1,"",493,4,FALSE,4,7,FALSE,"18/5/2004","0/1/1900",0,0,""
"111","40110",346,4264,2004,139,"Prov","D057",110,110,93.69999695,1,"",494,4,FALSE,3,7,FALSE,"18/5/2004","0/1/1900",0,0,""
"112","40111",723,24,2004,139,"Prov","D047",111,111,93.69999695,1,"",484,4,FALSE,3,11,FALSE,"18/5/2004","0/1/1900",0,0,""
"113","40112",927,466,2004,139,"Prov","D058",112,112,93.69999695,1,"",495,4,FALSE,2,7,FALSE,"18/5/2004","0/1/1900",0,0,""
"114","40113",76,287,2004,139,"Prov","D059",113,113,93.69999695,1,"",496,4,FALSE,3,7,FALSE,"18/5/2004","0/1/1900",0,0,""
"115","40114",428,4421,2004,140,"Prov","D060",114,114,93.69999695,1,"",497,4,FALSE,4,7,FALSE,"19/5/2004","0/1/1900",1,1,""
"116","40115",512,765,2004,140,"Prov","D061",115,115,93.69999695,1,"",498,4,FALSE,1,7,FALSE,"19/5/2004","0/1/1900",1,1,""
"117","40116",4273,4153,2004,142,"Inc","D079",116,116,98.80000305,NA,"",516,2,FALSE,5,11,FALSE,"21/5/2004","0/1/1900",0,2,""
"118","40117",592,418,2004,142,"Prov","D072",117,117,93.69999695,1,"",509,4,TRUE,4,3,FALSE,"21/5/2004","0/1/1900",0,2,"CHI 4->3C3D"
"119","40118",1054,823,2004,142,"Prov","D073",118,118,93.59999847,1,"",510,4,TRUE,4,3,FALSE,"21/5/2004","0/1/1900",0,2,"CHI 4->3C3D"
"120","40119",1074,4422,2004,142,"Prov","D054",119,119,93.59999847,1,"",491,4,FALSE,2,11,FALSE,"21/5/2004","0/1/1900",0,2,""
"121","40120",4424,590,2004,142,"Prov","D074",120,120,93.69999695,1,"",511,4,FALSE,3,3,FALSE,"21/5/2004","0/1/1900",0,2,""
"122","40121",416,4418,2004,142,"Prov","D052",121,121,93.69999695,1,"",489,4,FALSE,1,11,FALSE,"21/5/2004","0/1/1900",0,2,""
"123","40122",371,4230,2004,142,"Prov","D051",122,122,93.69999695,1,"",488,4,FALSE,2,11,FALSE,"21/5/2004","0/1/1900",0,2,""
"124","40123",955,591,2004,142,"Prov","D053",123,123,93.80000305,1,"",490,4,FALSE,3,11,FALSE,"21/5/2004","0/1/1900",0,2,""
"125","40124",649,460,2004,142,"Inc","D078",124,124,93.69999695,NA,"",515,2,FALSE,4,11,FALSE,"21/5/2004","0/1/1900",0,2,""
"126","40125",4376,383,2004,142,"Inc","D080",125,125,93.80000305,NA,"",517,2,FALSE,5,11,FALSE,"21/5/2004","0/1/1900",0,2,""
"127","40126",256,132,2004,143,"Prov","D056",126,126,93.69999695,1,"",493,4,FALSE,3,11,FALSE,"22/5/2004","0/1/1900",0,2,""
"128","40127",346,4264,2004,143,"Prov","D057",127,127,93.30000305,1,"",494,4,FALSE,3,11,FALSE,"22/5/2004","0/1/1900",0,2,""
"129","40128",533,417,2004,143,"Inc","D081",128,128,93.69999695,NA,"",518,2,FALSE,4,11,FALSE,"22/5/2004","0/1/1900",0,2,""
"130","40129",4290,4275,2004,143,"Prov","D076",129,129,93.69999695,1,"",513,4,TRUE,4,3,FALSE,"22/5/2004","0/1/1900",0,2,"CHI 4->3C3D"
"131","40130",76,287,2004,143,"Prov","D059",130,130,93.69999695,1,"",496,4,FALSE,3,11,FALSE,"22/5/2004","0/1/1900",0,2,""
"132","40131",438,11,2004,143,"Prov","D075",131,131,93.40000153,1,"",512,4,FALSE,3,3,FALSE,"22/5/2004","0/1/1900",0,2,""
"133","40132",NA,NA,NA,NA,NA,NA,NA,132,93.5,NA,"",NA,1,FALSE,NA,NA,TRUE,"23/5/2004","0/1/1900",0,0,"EGG LAYING?"
"134","40133",428,4421,2004,144,"Prov","D060",133,133,93.09999847,1,"",497,4,FALSE,2,11,FALSE,"23/5/2004","0/1/1900",0,0,""
"135","40134",284,456,2004,144,"Inc","D082",134,134,93.80000305,NA,"",519,2,FALSE,4,11,FALSE,"23/5/2004","0/1/1900",0,0,""
"136","40135",442,457,2004,144,"Inc","D083",135,135,93.90000153,NA,"",520,2,FALSE,4,11,FALSE,"23/5/2004","0/1/1900",0,0,""
"137","40136",41,517,2004,145,"Inc","D085",136,136,93.69999695,NA,"",522,2,FALSE,4,11,FALSE,"24/5/2004","0/1/1900",0,1,""
"138","40137",471,661,2004,145,"Prov","D077",137,137,93.69999695,1,"",514,4,FALSE,3,3,FALSE,"24/5/2004","0/1/1900",0,1,""
"139","40138",45,166,2004,145,"Inc","D086",138,138,93.80000305,NA,"",523,2,FALSE,4,11,TRUE,"24/5/2004","0/1/1900",0,1,""
"140","40139",122,132,2004,146,"Inc","D089",139,139,93.80000305,NA,"",526,2,FALSE,3,11,FALSE,"25/5/2004","0/1/1900",0,1,""
"141","40140",45,166,2004,146,"Inc","D086",140,140,93.5,NA,"",523,2,FALSE,4,12,FALSE,"25/5/2004","0/1/1900",0,1,""
"142","40141",1054,823,2004,146,"Prov","D073",141,141,93.80000305,1,"",510,4,FALSE,2,7,FALSE,"25/5/2004","0/1/1900",0,1,""
"143","40142",353,725,2004,146,"Inc","D093",142,142,93.69999695,NA,"",530,2,FALSE,5,11,FALSE,"25/5/2004","0/1/1900",0,1,""
"144","40143",1063,363,2004,147,"Inc","D092",143,143,93.80000305,NA,"",529,2,FALSE,4,11,FALSE,"26/5/2004","0/1/1900",1,1,""
"145","40144",562,393,2004,147,"Inc","D088",144,144,93.90000153,NA,"",525,2,FALSE,4,11,FALSE,"26/5/2004","0/1/1900",1,1,""
"146","40145",646,500,2004,147,"Inc","D087",145,145,93.80000305,NA,"",524,2,FALSE,5,11,FALSE,"26/5/2004","0/1/1900",1,1,""
"147","40146",4290,4275,2004,147,"Prov","D076",146,146,93.69999695,1,"",513,4,FALSE,2,7,FALSE,"26/5/2004","0/1/1900",0,1,""
"148","40147",521,1038,2004,147,"Inc","D090",147,147,93.80000305,NA,"",527,2,FALSE,4,11,FALSE,"26/5/2004","0/1/1900",0,1,""
"149","40148",438,11,2004,147,"Prov","D075",148,148,93.40000153,1,"",512,4,FALSE,3,7,FALSE,"26/5/2004","0/1/1900",0,1,""
"150","40149",586,285,2004,147,"Inc","D094",149,149,93.80000305,NA,"",531,2,FALSE,5,11,FALSE,"26/5/2004","0/1/1900",0,1,""
"151","40150",913,818,2004,148,"Inc","D096",150,150,93.69999695,NA,"",533,2,FALSE,4,11,FALSE,"27/5/2004","0/1/1900",0,1,""
"152","40151",985,409,2004,148,"Inc","D091",151,151,93.69999695,NA,"",528,2,FALSE,4,10,FALSE,"27/5/2004","0/1/1900",0,1,""
"153","40152",649,460,2004,148,"Prov","D078",152,152,93.30000305,1,"",515,4,FALSE,4,3,FALSE,"27/5/2004","0/1/1900",0,1,""
"154","40153",427,22,2004,148,"Inc","D106",153,153,93.80000305,NA,"",543,2,FALSE,4,11,FALSE,"27/5/2004","0/1/1900",0,1,""
"155","40154",1069,115,2004,148,"Inc","D099",154,154,93.80000305,NA,"",536,2,FALSE,5,11,FALSE,"27/5/2004","0/1/1900",0,1,""
"156","40155",753,822,2004,148,"Inc","D095",155,155,93.69999695,NA,"",532,2,FALSE,4,11,FALSE,"27/5/2004","0/1/1900",0,1,""
"157","40156",1048,902,2004,149,"Inc","D110",156,156,93.59999847,NA,"",547,2,FALSE,4,11,FALSE,"28/5/2004","0/1/1900",3,2,""
"158","40157",471,661,2004,149,"Prov","D077",157,157,93.5,1,"",514,4,FALSE,3,7,FALSE,"28/5/2004","0/1/1900",3,2,""
"159","40158",819,602,2004,149,"Inc","D097",158,158,93.09999847,NA,"",534,2,FALSE,3,11,FALSE,"28/5/2004","0/1/1900",3,2,""
"160","40159",903,354,2004,149,"Inc","D108",159,159,93.69999695,NA,"",545,2,FALSE,3,11,FALSE,"28/5/2004","0/1/1900",3,2,""
"161","40160",928,513,2004,149,"Inc","D098",160,160,93.69999695,NA,"",535,2,FALSE,4,11,FALSE,"28/5/2004","0/1/1900",3,2,""
"162","40161",4273,4153,2004,149,"Prov","D079",161,161,93.80000305,1,"",516,4,FALSE,5,3,FALSE,"28/5/2004","0/1/1900",3,2,""
"163","40162",4376,383,2004,149,"Prov","D080",162,162,93.59999847,1,"",517,4,FALSE,3,3,FALSE,"28/5/2004","0/1/1900",3,2,""
"164","40163",542,466,2004,149,"Inc","D105",163,163,93.5,NA,"",542,2,FALSE,4,11,FALSE,"28/5/2004","0/1/1900",3,2,""
"165","40164",892,4435,2004,149,"Inc","D102",164,164,93.40000153,NA,"",539,2,FALSE,5,11,FALSE,"28/5/2004","0/1/1900",3,2,""
