DVDRef,DVDNumber,TapeLength,Protocol,Observer,BroodRef,Situation,Deaths,OffspringNo,Age,Wrong,DVDdate,DVDtime,Weather,Wind,Notes
121,40121,93.69999695,1,,489,4,FALSE,1,11,FALSE,21/5/2004,0/1/1900,0,2,
122,40122,93.69999695,1,,488,4,FALSE,2,11,FALSE,21/5/2004,0/1/1900,0,2,
123,40123,93.80000305,1,,490,4,FALSE,3,11,FALSE,21/5/2004,0/1/1900,0,2,
124,40124,93.69999695,,,515,2,FALSE,4,11,FALSE,21/5/2004,0/1/1900,0,2,
125,40125,93.80000305,,,517,2,FALSE,5,11,FALSE,21/5/2004,0/1/1900,0,2,
126,40126,93.69999695,1,,493,4,FALSE,3,11,FALSE,22/5/2004,0/1/1900,0,2,
127,40127,93.30000305,1,,494,4,FALSE,3,11,FALSE,22/5/2004,0/1/1900,0,2,
128,40128,93.69999695,,,518,2,FALSE,4,11,FALSE,22/5/2004,0/1/1900,0,2,
129,40129,93.69999695,1,,513,4,TRUE,4,3,FALSE,22/5/2004,0/1/1900,0,2,CHI 4->3C3D
130,40130,93.69999695,1,,496,4,FALSE,3,11,FALSE,22/5/2004,0/1/1900,0,2,
131,40131,93.40000153,1,,512,4,FALSE,3,3,FALSE,22/5/2004,0/1/1900,0,2,
132,40132,93.5,,,,1,FALSE,,,TRUE,23/5/2004,0/1/1900,0,0,EGG LAYING?
133,40133,93.09999847,1,,497,4,FALSE,2,11,FALSE,23/5/2004,0/1/1900,0,0,
134,40134,93.80000305,,,519,2,FALSE,4,11,FALSE,23/5/2004,0/1/1900,0,0,
135,40135,93.90000153,,,520,2,FALSE,4,11,FALSE,23/5/2004,0/1/1900,0,0,
136,40136,93.69999695,,,522,2,FALSE,4,11,FALSE,24/5/2004,0/1/1900,0,1,
137,40137,93.69999695,1,,514,4,FALSE,3,3,FALSE,24/5/2004,0/1/1900,0,1,
138,40138,93.80000305,,,523,2,FALSE,4,11,TRUE,24/5/2004,0/1/1900,0,1,
139,40139,93.80000305,,,526,2,FALSE,3,11,FALSE,25/5/2004,0/1/1900,0,1,
140,40140,93.5,,,523,2,FALSE,4,12,FALSE,25/5/2004,0/1/1900,0,1,
141,40141,93.80000305,1,,510,4,FALSE,2,7,FALSE,25/5/2004,0/1/1900,0,1,
142,40142,93.69999695,,,530,2,FALSE,5,11,FALSE,25/5/2004,0/1/1900,0,1,
143,40143,93.80000305,,,529,2,FALSE,4,11,FALSE,26/5/2004,0/1/1900,1,1,
144,40144,93.90000153,,,525,2,FALSE,4,11,FALSE,26/5/2004,0/1/1900,1,1,
145,40145,93.80000305,,,524,2,FALSE,5,11,FALSE,26/5/2004,0/1/1900,1,1,
146,40146,93.69999695,1,,513,4,FALSE,2,7,FALSE,26/5/2004,0/1/1900,0,1,
147,40147,93.80000305,,,527,2,FALSE,4,11,FALSE,26/5/2004,0/1/1900,0,1,
148,40148,93.40000153,1,,512,4,FALSE,3,7,FALSE,26/5/2004,0/1/1900,0,1,
149,40149,93.80000305,,,531,2,FALSE,5,11,FALSE,26/5/2004,0/1/1900,0,1,
150,40150,93.69999695,,,533,2,FALSE,4,11,FALSE,27/5/2004,0/1/1900,0,1,
151,40151,93.69999695,,,528,2,FALSE,4,10,FALSE,27/5/2004,0/1/1900,0,1,
152,40152,93.30000305,1,,515,4,FALSE,4,3,FALSE,27/5/2004,0/1/1900,0,1,
153,40153,93.80000305,,,543,2,FALSE,4,11,FALSE,27/5/2004,0/1/1900,0,1,
154,40154,93.80000305,,,536,2,FALSE,5,11,FALSE,27/5/2004,0/1/1900,0,1,
155,40155,93.69999695,,,532,2,FALSE,4,11,FALSE,27/5/2004,0/1/1900,0,1,
156,40156,93.59999847,,,547,2,FALSE,4,11,FALSE,28/5/2004,0/1/1900,3,2,
157,40157,93.5,1,,514,4,FALSE,3,7,FALSE,28/5/2004,0/1/1900,3,2,
158,40158,93.09999847,,,534,2,FALSE,3,11,FALSE,28/5/2004,0/1/1900,3,2,
159,40159,93.69999695,,,545,2,FALSE,3,11,FALSE,28/5/2004,0/1/1900,3,2,
160,40160,93.69999695,,,535,2,FALSE,4,11,FALSE,28/5/2004,0/1/1900,3,2,
161,40161,93.80000305,1,,516,4,FALSE,5,3,FALSE,28/5/2004,0/1/1900,3,2,
162,40162,93.59999847,1,,517,4,FALSE,3,3,FALSE,28/5/2004,0/1/1900,3,2,
163,40163,93.5,,,542,2,FALSE,4,11,FALSE,28/5/2004,0/1/1900,3,2,
164,40164,93.40000153,,,539,2,FALSE,5,11,FALSE,28/5/2004,0/1/1900,3,2,
165,40165,93.80000305,,,540,2,FALSE,5,11,FALSE,28/5/2004,0/1/1900,3,2,
166,40166,93.69999695,1,,518,4,FALSE,2,3,FALSE,29/5/2004,0/1/1900,1,1,
167,40167,93.80000305,,,546,2,FALSE,3,11,FALSE,29/5/2004,0/1/1900,1,1,
168,40168,90,,,544,2,FALSE,3,11,FALSE,29/5/2004,0/1/1900,1,1,
169,40169,93.80000305,,,537,2,FALSE,4,12,FALSE,29/5/2004,0/1/1900,0,1,
170,40170,93.80000305,1,,520,4,FALSE,4,3,FALSE,29/5/2004,0/1/1900,0,1,
171,40171,93.69999695,1,,519,4,FALSE,4,3,FALSE,29/5/2004,0/1/1900,0,1,
172,40172,93.5,1,,510,4,FALSE,1,11,FALSE,29/5/2004,0/1/1900,0,1,
173,40173,93.69999695,1,,513,4,FALSE,2,11,FALSE,30/5/2004,0/1/1900,0,1,
