DVDRef,DVDNumber,TapeLength,Protocol,Observer,BroodRef,Situation,Deaths,OffspringNo,Age,Wrong,DVDdate,DVDtime,Weather,Wind,Notes
1766,70008,93,,IC,894,2,FALSE,5,12,FALSE,16/5/2007,0/1/1900,1,2,
1767,70009,93.30000305,1,IC,884,4,FALSE,3,11,FALSE,17/5/2007,0/1/1900,0,2,
1768,70010,93.69999695,,IC,886,2,FALSE,4,12,FALSE,18/5/2007,0/1/1900,3,2,
1769,70011,93.80000305,,IC,903,2,FALSE,5,12,FALSE,19/5/2007,0/1/1900,1,2,
1770,70012,90,,IC,902,2,FALSE,4,12,FALSE,20/5/2007,0/1/1900,0,0,
1771,70013,,,,906,2,FALSE,3,12,TRUE,20/5/2007,0/1/1900,0,0,ACTUALLY LM11
1772,70014,90,,IC,896,2,FALSE,5,12,FALSE,20/5/2007,0/1/1900,0,0,
1773,70015,90.09999847,,IC,906,2,FALSE,3,13,FALSE,21/5/2007,0/1/1900,0,1,
1774,70016,90,,IC,908,2,FALSE,4,12,FALSE,21/5/2007,0/1/1900,0,1,
1775,70017,90,,IC,895,2,FALSE,4,12,FALSE,21/5/2007,0/1/1900,0,1,
1776,70018,90,,IC,897,2,FALSE,4,12,FALSE,21/5/2007,0/1/1900,0,1,
1777,70019,80,,IC,898,2,FALSE,5,12,FALSE,22/5/2007,0/1/1900,0,0,
1778,70020,90,,IC,901,2,FALSE,4,12,FALSE,23/5/2007,0/1/1900,0,0,
1779,70021,90,1,IC,892,4,FALSE,1,7,FALSE,24/5/2007,0/1/1900,0,0,
1780,70022,90,,LMD,907,2,FALSE,3,13,FALSE,26/5/2007,0/1/1900,0,0,
1781,70023,90,,LMD,904,2,FALSE,4,13,FALSE,26/5/2007,0/1/1900,0,0,
1782,70024,90,,IC,909,2,FALSE,4,12,FALSE,29/5/2007,0/1/1900,0,0,
1783,70025,90,1,IC,897,4,FALSE,1,7,FALSE,30/5/2007,0/1/1900,3,2,
1784,70026,90,1,LMD,898,4,FALSE,4,7,FALSE,31/5/2007,0/1/1900,3,0,
1785,70027,90,,IC,911,2,FALSE,3,12,FALSE,1/6/2007,0/1/1900,0,0,
1786,70028,90,1,IC,901,4,FALSE,2,7,FALSE,1/6/2007,0/1/1900,0,0,
1787,70029,90,1,IC,902,4,FALSE,2,7,FALSE,1/6/2007,0/1/1900,0,0,
1788,70030,90,,IC,910,2,FALSE,4,12,FALSE,2/6/2007,0/1/1900,0,1,
1789,70031,90,1,IC,897,4,FALSE,1,11,FALSE,3/6/2007,0/1/1900,1,0,
1790,70032,90,,IC,912,2,FALSE,4,12,FALSE,4/6/2007,0/1/1900,1,0,
1791,70033,90,1,LMD,898,4,FALSE,3,11,FALSE,4/6/2007,0/1/1900,1,0,
1792,70034,90,1,IC,907,4,FALSE,2,7,FALSE,4/6/2007,0/1/1900,1,0,
1793,70035,90,,IC,913,2,FALSE,5,12,FALSE,5/6/2007,0/1/1900,0,0,
1794,70036,90,1,IC,901,4,FALSE,2,11,FALSE,5/6/2007,0/1/1900,0,0,
1795,70037,90,,LMD,916,2,FALSE,5,12,FALSE,5/6/2007,0/1/1900,0,0,
1796,70038,90,1,IC,902,4,FALSE,1,11,FALSE,5/6/2007,0/1/1900,0,0,
1797,70039,90,,IC,914,2,FALSE,3,12,FALSE,6/6/2007,0/1/1900,0,0,
1798,70040,90,1,LMD,909,4,FALSE,3,7,FALSE,6/6/2007,0/1/1900,1,2,
1799,70041,83,1,IC,907,4,FALSE,2,11,FALSE,8/6/2007,0/1/1900,0,0,NO MALE
1800,70042,90,,IC,915,2,FALSE,5,12,FALSE,9/6/2007,0/1/1900,0,0,
1801,70043,90,1,LMD,910,4,FALSE,2,7,FALSE,10/6/2007,0/1/1900,0,0,
1802,70044,90,,IC,918,2,FALSE,5,12,FALSE,10/6/2007,0/1/1900,0,0,
1803,70045,90,1,LMD,909,4,FALSE,3,11,FALSE,11/6/2007,0/1/1900,0,0,
1804,70046,86.80000305,,IC,917,2,FALSE,4,12,FALSE,11/6/2007,0/1/1900,0,0,
1805,70047,90,1,LMD,912,4,FALSE,3,7,FALSE,13/6/2007,0/1/1900,1,0,
1806,70048,90,,IC,919,2,FALSE,5,12,FALSE,13/6/2007,0/1/1900,1,0,
1807,70049,90,1,IC,910,4,FALSE,2,11,FALSE,14/6/2007,0/1/1900,3,0,
1808,70050,90,,LMD,920,2,FALSE,5,12,FALSE,15/6/2007,0/1/1900,1,0,
1809,70051,90,1,IC,914,4,FALSE,2,7,FALSE,16/6/2007,0/1/1900,3,0,
1810,70052,90,,LMD,921,2,FALSE,5,12,FALSE,16/6/2007,0/1/1900,0,0,
1811,70053,90,,IC,924,2,FALSE,5,13,FALSE,17/6/2007,0/1/1900,3,0,
1812,70054,90,,IC,922,2,FALSE,5,12,FALSE,17/6/2007,0/1/1900,3,0,
1813,70055,90,1,IC,912,4,FALSE,3,11,FALSE,17/6/2007,0/1/1900,3,0,
1814,70056,90,,IC,928,2,FALSE,4,12,FALSE,18/6/2007,0/1/1900,3,1,
1815,70057,90,1,IC,918,4,FALSE,3,7,FALSE,19/6/2007,0/1/1900,1,2,
1816,70058,90,,IC,925,2,FALSE,4,12,FALSE,19/6/2007,0/1/1900,1,2,
1817,70059,90,,IC,917,4,FALSE,3,7,TRUE,19/6/2007,0/1/1900,1,2,BAD VIDEO
1818,70060,,,,926,2,FALSE,4,12,FALSE,19/6/2007,0/1/1900,1,2,BAD CAMERA
1819,70061,90.19999695,1,IC,914,4,FALSE,2,11,FALSE,20/6/2007,0/1/1900,1,2,
1820,70062,90,,LMD,923,2,FALSE,2,12,FALSE,20/6/2007,0/1/1900,1,2,
1821,70063,90,,LMD,927,2,FALSE,5,12,FALSE,21/6/2007,0/1/1900,3,2,
1822,70064,79.30000305,1,IC,919,4,FALSE,3,7,FALSE,23/6/2007,0/1/1900,1,0,
1823,70065,92.90000153,1,IC,917,4,FALSE,3,11,FALSE,23/6/2007,0/1/1900,1,0,
1824,70066,90,1,IC,918,4,FALSE,3,11,FALSE,23/6/2007,0/1/1900,1,0,
1825,70067,89.69999695,,IC,929,2,FALSE,4,12,FALSE,23/6/2007,0/1/1900,1,0,
1826,70068,84,,IC,931,2,FALSE,4,12,FALSE,24/6/2007,0/1/1900,1,0,STARLING FIGHTS
1827,70069,90,,LMD,933,2,FALSE,5,12,FALSE,24/6/2007,0/1/1900,1,0,
1828,70070,90,,LMD,932,2,FALSE,5,12,FALSE,24/6/2007,0/1/1900,1,0,
1829,70071,90,1,LMD,920,4,FALSE,4,7,FALSE,25/6/2007,0/1/1900,3,2,
1830,70072,90,1,IC,921,4,FALSE,4,7,FALSE,26/6/2007,0/1/1900,1,2,
1831,70073,90.30000305,,IC,934,2,FALSE,5,12,FALSE,26/6/2007,0/1/1900,1,2,
1832,70074,90,1,IC,922,4,FALSE,4,7,FALSE,27/6/2007,0/1/1900,0,1,
1833,70075,90,,IC,936,2,FALSE,5,12,FALSE,27/6/2007,0/1/1900,0,1,
1834,70076,90,1,IC,919,4,FALSE,2,11,FALSE,27/6/2007,0/1/1900,0,1,
1835,70077,90,1,IC,923,4,FALSE,2,7,FALSE,27/6/2007,0/1/1900,0,1,
1836,70078,90,1,IC,925,4,FALSE,3,7,FALSE,28/6/2007,0/1/1900,0,1,
1837,70079,90,,,937,2,FALSE,4,12,FALSE,28/6/2007,0/1/1900,0,1,FLEDGLINGS IN NEST TOO
1838,70080,90,,IC,935,2,FALSE,5,12,FALSE,28/6/2007,0/1/1900,0,1,
1839,70081,90,1,LMD,920,4,FALSE,4,11,FALSE,29/6/2007,0/1/1900,3,2,
1840,70082,90,,LMD,938,2,FALSE,6,12,FALSE,29/6/2007,0/1/1900,3,2,
1841,70083,90,1,IC,927,4,FALSE,3,7,FALSE,30/6/2007,0/1/1900,2,2,
1842,70084,90,1,IC,926,4,FALSE,2,8,FALSE,1/7/2007,0/1/1900,3,2,
1843,70085,90,1,IC,921,4,FALSE,4,11,FALSE,30/6/2007,0/1/1900,3,2,
1844,70086,,,,940,2,FALSE,5,12,TRUE,30/6/2007,0/1/1900,3,2,BAD LIGHT
1845,70087,90,1,IC,923,4,FALSE,2,11,FALSE,1/7/2007,0/1/1900,3,2,
1846,70088,90,1,IC,922,4,FALSE,4,11,FALSE,1/7/2007,0/1/1900,4,2,
1847,70089,90,1,IC,925,4,FALSE,3,11,FALSE,2/7/2007,0/1/1900,1,2,
1848,70090,88.40000153,1,IC,929,4,FALSE,3,7,FALSE,2/7/2007,0/1/1900,1,2,
1849,70091,90,1,LMD,931,4,FALSE,3,7,FALSE,3/7/2007,0/1/1900,1,1,
1850,70092,90,,LMD,941,2,FALSE,5,12,FALSE,3/7/2007,0/1/1900,1,1,
1851,70093,90,1,IC,932,4,FALSE,3,7,FALSE,4/7/2007,0/1/1900,0,3,
1852,70094,90,1,LMD,933,4,FALSE,4,7,FALSE,4/7/2007,0/1/1900,0,3,
1853,70095,90,1,IC,927,4,FALSE,3,11,FALSE,4/7/2007,0/1/1900,0,3,
1854,70096,90,1,LMD,926,4,FALSE,2,11,FALSE,4/7/2007,0/1/1900,0,3,
1855,70097,90,1,IC,934,4,FALSE,3,7,FALSE,6/7/2007,0/1/1900,1,3,
1856,70098,90,,IC,942,2,FALSE,4,12,FALSE,6/7/2007,0/1/1900,0,3,
1857,70099,90,1,IC,929,4,FALSE,3,11,FALSE,6/7/2007,0/1/1900,0,3,
1858,70100,90,,,945,2,FALSE,5,12,FALSE,6/7/2007,0/1/1900,0,3,FEMALE NOT SEEN
1859,70101,90,,IC,943,2,FALSE,4,12,FALSE,7/7/2007,0/1/1900,0,2,
1860,70102,90,1,IC,931,4,FALSE,2,11,FALSE,7/7/2007,0/1/1900,0,2,
1861,70103,90,1,IC,935,4,FALSE,4,7,FALSE,7/7/2007,0/1/1900,0,1,
1862,70104,90,1,IC,936,4,FALSE,4,7,FALSE,7/7/2007,0/1/1900,0,1,
1863,70105,90,,IC,944,2,FALSE,5,12,FALSE,7/7/2007,0/1/1900,0,1,
1864,70106,90,1,IC,932,4,FALSE,3,11,FALSE,8/7/2007,0/1/1900,0,0,
1865,70107,90,1,LMD,933,4,FALSE,4,11,FALSE,8/7/2007,0/1/1900,0,0,
1866,70108,90,1,,937,4,FALSE,1,7,FALSE,8/7/2007,0/1/1900,0,0,"14 MINS LOST AS BAD TAPE, REFLECTED IN EFFECT TIME"
1867,70109,81.69999695,,IC,947,2,FALSE,4,12,FALSE,9/7/2007,0/1/1900,0,0,
1868,70110,90,1,IC,938,4,FALSE,4,7,FALSE,10/7/2007,0/1/1900,1,2,
1869,70111,90,1,,934,4,FALSE,1,11,FALSE,10/7/2007,0/1/1900,1,2,MALE NOT SEEN
1870,70112,90,1,LMD,936,4,FALSE,2,12,FALSE,12/7/2007,0/1/1900,3,2,
1871,70113,90,1,LMD,935,4,FALSE,4,11,FALSE,11/7/2007,0/1/1900,0,0,
1872,70114,90,1,,937,4,FALSE,1,11,FALSE,12/7/2007,0/1/1900,3,2,FLEDGLINGS IN NEST TOO
1873,70115,,,,941,4,FALSE,2,7,TRUE,13/7/2007,0/1/1900,3,1,"VOID, CHICKS CHECKED AFTER RECORDING AND FOUND DEAD"
1874,70116,90,,IC,948,2,FALSE,5,12,FALSE,14/7/2007,0/1/1900,0,1,
1875,70117,82.40000153,,IC,949,2,FALSE,4,12,FALSE,14/7/2007,0/1/1900,0,1,
1876,70118,90,1,IC,938,4,FALSE,3,11,FALSE,14/7/2007,0/1/1900,0,1,
1877,70119,90,1,IC,942,4,FALSE,4,7,FALSE,15/7/2007,0/1/1900,1,1,
1878,70120,90,1,IC,944,4,FALSE,3,7,FALSE,16/7/2007,0/1/1900,0,2,
1879,70121,90,1,IC,943,4,FALSE,3,7,FALSE,16/7/2007,0/1/1900,0,2,
1880,70122,90,1,IC,947,4,FALSE,1,7,FALSE,18/7/2007,0/1/1900,0,0,
1881,70123,90,,IC,952,2,FALSE,5,12,FALSE,19/7/2007,0/1/1900,0,0,
1882,70124,90,1,IC,942,4,FALSE,4,11,FALSE,19/7/2007,0/1/1900,0,0,
1883,70125,90.09999847,1,IC,944,4,FALSE,3,11,FALSE,20/7/2007,0/1/1900,1,0,
1884,70126,90,,LMD,951,2,FALSE,4,12,FALSE,20/7/2007,0/1/1900,1,0,
1885,70127,90,1,IC,943,4,FALSE,3,11,FALSE,20/7/2007,0/1/1900,0,0,
1886,70128,90,1,IC,948,4,FALSE,2,7,FALSE,22/7/2007,0/1/1900,3,2,
1887,70129,90,1,IC,947,4,FALSE,1,11,FALSE,22/7/2007,0/1/1900,3,2,
1888,70130,90,,IC,953,2,FALSE,3,12,FALSE,23/7/2007,0/1/1900,3,2,
1889,70131,90,1,IC,949,4,FALSE,3,7,FALSE,23/7/2007,0/1/1900,3,2,
1890,70132,90,,IC,954,2,FALSE,4,12,FALSE,23/7/2007,0/1/1900,3,2,
1891,70133,90,,IC,959,2,FALSE,6,12,FALSE,24/7/2007,0/1/1900,0,0,
1892,70134,90,1,IC,948,4,FALSE,2,11,FALSE,26/7/2007,0/1/1900,3,3,
1893,70135,90,,IC,955,2,FALSE,3,12,FALSE,26/7/2007,0/1/1900,3,3,
1894,70136,90,1,IC,949,4,FALSE,3,11,FALSE,27/7/2007,0/1/1900,0,2,
1895,70137,90,,IC,956,2,FALSE,5,12,FALSE,27/7/2007,0/1/1900,0,2,"FEMALE NOT SEEN, LATER FOUND DEAD"
1896,70138,90,1,IC,951,4,FALSE,2,7,FALSE,28/7/2007,0/1/1900,0,1,
1897,70139,90,,IC,957,2,FALSE,5,12,FALSE,28/7/2007,0/1/1900,0,1,
1898,70140,90,1,IC,952,4,FALSE,3,7,FALSE,29/7/2007,0/1/1900,0,0,
1899,70141,93.40000153,,IC,962,2,FALSE,5,12,FALSE,30/7/2007,0/1/1900,0,1,
1900,70142,90,,IC,960,2,FALSE,5,12,FALSE,30/7/2007,0/1/1900,0,1,
1901,70143,90,,IC,961,2,FALSE,5,12,FALSE,30/7/2007,0/1/1900,0,1,
1902,70144,90,,IC,967,2,FALSE,3,12,FALSE,30/7/2007,0/1/1900,0,1,PAIR HARDLY SEEN
1903,70145,90,,IC,964,2,FALSE,6,12,FALSE,31/7/2007,0/1/1900,0,0,
1904,70146,90,,IC,966,2,FALSE,5,12,FALSE,31/7/2007,0/1/1900,0,0,
1905,70147,90,,IC,963,2,FALSE,5,12,FALSE,1/8/2007,0/1/1900,0,0,
1906,70148,90,1,IC,951,4,FALSE,2,11,FALSE,1/8/2007,0/1/1900,0,0,
1907,70149,90,1,IC,952,4,FALSE,3,11,FALSE,2/8/2007,0/1/1900,1,1,
1908,70150,90,,,965,2,FALSE,4,12,FALSE,2/8/2007,0/1/1900,1,1,RAIN ON LENS
1909,70151,90,1,IC,953,4,FALSE,2,7,FALSE,2/8/2007,0/1/1900,1,1,
1910,70152,90,,IC,970,2,FALSE,5,12,FALSE,2/8/2007,0/1/1900,1,1,
1911,70153,90,1,IC,955,4,FALSE,2,7,FALSE,3/8/2007,0/1/1900,0,0,
1912,70154,90,,IC,969,2,FALSE,5,12,FALSE,3/8/2007,0/1/1900,0,0,
1913,70155,90,,,968,2,FALSE,4,13,FALSE,4/8/2007,0/1/1900,3,2,NO BIRDS SEEN
1914,70156,90,1,IC,953,4,FALSE,2,11,FALSE,6/8/2007,0/1/1900,0,0,
1915,70157,90,1,IC,957,4,FALSE,3,7,FALSE,6/8/2007,0/1/1900,0,0,
1916,70158,85.40000153,1,IC,955,4,FALSE,2,11,FALSE,7/8/2007,0/1/1900,0,0,
1917,70159,90,1,IC,960,4,FALSE,5,7,FALSE,8/8/2007,0/1/1900,0,0,
1918,70160,90,1,IC,961,4,FALSE,3,7,FALSE,8/8/2007,0/1/1900,0,0,
1919,70161,90,1,IC,962,4,FALSE,4,7,FALSE,9/8/2007,0/1/1900,0,0,
1920,70162,90,1,IC,963,4,FALSE,3,7,FALSE,10/8/2007,0/1/1900,0,0,
1921,70163,90,1,IC,957,4,FALSE,3,11,FALSE,10/8/2007,0/1/1900,1,0,
1922,70164,90,1,IC,966,4,FALSE,4,7,FALSE,11/8/2007,0/1/1900,0,0,
1923,70165,90,1,IC,965,4,FALSE,3,7,FALSE,11/8/2007,0/1/1900,0,0,
1924,70166,90,1,IC,964,4,FALSE,4,7,FALSE,11/8/2007,0/1/1900,0,0,
1925,70167,90,1,IC,961,4,FALSE,1,11,FALSE,12/8/2007,0/1/1900,0,2,
1926,70168,90,1,IC,960,4,FALSE,5,11,FALSE,12/8/2007,0/1/1900,0,1,
1927,70169,90,1,IC,969,4,FALSE,1,7,FALSE,12/8/2007,0/1/1900,0,0,
1928,70170,90,1,IC,970,4,FALSE,1,7,FALSE,12/8/2007,0/1/1900,0,0,
1929,70171,90,1,IC,962,4,FALSE,4,11,FALSE,13/8/2007,0/1/1900,0,0,
1930,70172,90,,,972,2,FALSE,4,13,FALSE,13/8/2007,0/1/1900,0,0,NO BIRDS SEEN
1931,70173,90,1,IC,963,4,FALSE,3,11,FALSE,14/8/2007,0/1/1900,1,2,
1932,70174,90,,IC,973,2,FALSE,4,12,FALSE,14/8/2007,0/1/1900,1,2,
1933,70175,90,1,IC,964,4,FALSE,4,11,FALSE,15/8/2007,0/1/1900,1,2,
1934,70176,90,1,IC,966,4,FALSE,4,11,FALSE,15/8/2007,0/1/1900,1,2,
1935,70177,90,1,IC,965,4,FALSE,3,11,FALSE,15/8/2007,0/1/1900,3,2,
1936,70178,90,1,,969,4,FALSE,1,11,FALSE,16/8/2007,0/1/1900,1,2,FEMALE NOT SEEN
1937,70179,90,1,IC,970,4,FALSE,1,11,FALSE,16/8/2007,0/1/1900,1,2,
1938,70180,90,,IC,975,2,FALSE,4,12,FALSE,16/8/2007,0/1/1900,1,2,
1939,70181,90,,IC,976,2,FALSE,4,12,FALSE,16/8/2007,0/1/1900,1,2,
1940,70182,84.69999695,,,974,3,FALSE,2,15,FALSE,17/8/2007,0/1/1900,0,0,"WHEN CHECKED 2 EGGS HAD ALREADY HATCHED, 2C2E15D"
1941,70183,90,,IC,977,2,FALSE,4,12,FALSE,18/8/2007,0/1/1900,3,3,
1942,70184,90,,IC,978,2,FALSE,4,12,FALSE,19/8/2007,0/1/1900,1,2,
1943,70185,83.5,,IC,979,2,FALSE,4,12,FALSE,19/8/2007,0/1/1900,1,2,
1944,80001,93.80000305,,,981,2,FALSE,4,,FALSE,26/7/2008,0/1/1900,0,2,ESTIMATED AT AROUND 12D INCUBATION
1945,80002,93.5,,,980,2,FALSE,5,9,FALSE,28/4/2008,0/1/1900,0,2,UNKNOWN HATCH DAY
1946,80003,93.5,1,,981,4,FALSE,4,7,FALSE,6/5/2008,0/1/1900,0,0,
1947,80004,93.80000305,,,982,2,FALSE,4,12,FALSE,7/5/2008,0/1/1900,0,0,
1948,80005,93.69999695,1,,980,4,FALSE,1,7,FALSE,8/5/2008,0/1/1900,0,1,MALE NOT SEEN
1949,80006,93.5,1,,981,4,FALSE,4,9,FALSE,8/5/2008,0/1/1900,0,1,
1950,80007,93.59999847,,,984,2,FALSE,4,12,FALSE,9/5/2008,0/1/1900,2,0,
1951,80008,90.90000153,,,983,2,FALSE,4,12,FALSE,9/5/2008,0/1/1900,1,0,"parents rarely seen, eggs disappeared a day later???"
1952,80009,93.69999695,1,,980,4,FALSE,1,9,FALSE,10/5/2008,0/1/1900,1,0,MALE NOT SEEN
1953,80010,91,1,,981,4,FALSE,4,11,FALSE,10/5/2008,0/1/1900,1,0,
1954,80011,93.69999695,1,,980,4,FALSE,1,11,FALSE,12/5/2008,0/1/1900,0,0,MALE NOT SEEN
1955,80012,93.90000153,,,986,2,FALSE,5,12,FALSE,18/5/2008,0/1/1900,1,1,BOTH PARENTS LACK COLOUR RINGS ON ONE LEG
1956,80013,93.69999695,1,,982,4,FALSE,4,7,FALSE,19/5/2008,0/1/1900,0,0,
1957,80014,93.5,1,,982,4,FALSE,4,9,FALSE,21/5/2008,0/1/1900,0,0,PARENTS NOT SEEN = VOID
1958,80015,93.80000305,1,,982,4,FALSE,3,11,FALSE,23/5/2008,0/1/1900,1,1,
1959,80016,93.69999695,,,988,2,FALSE,4,12,FALSE,23/5/2008,0/1/1900,1,1,
1960,80017,93.69999695,,,990,2,FALSE,4,12,FALSE,25/5/2008,0/1/1900,3,3,
1961,80018,,,,991,2,FALSE,4,12,FALSE,26/5/2008,0/1/1900,3,3,VIDEO FAIL
1962,80019,93.59999847,,,989,2,FALSE,5,14,FALSE,26/5/2008,0/1/1900,3,3,VIDEO AT E14D BECAUSE OF WEATHER
1963,80020,93.80000305,1,,986,4,FALSE,2,7,FALSE,29/5/2008,0/1/1900,1,2,
1964,80021,93.69999695,1,,986,4,FALSE,2,9,FALSE,31/5/2008,0/1/1900,2,1,
1965,80022,93.69999695,1,,986,4,FALSE,2,11,FALSE,2/6/2008,0/1/1900,0,1,
1966,80023,90.5,1,,988,4,FALSE,3,7,FALSE,2/6/2008,0/1/1900,0,1,
1967,80024,93.69999695,,,992,2,FALSE,5,12,FALSE,3/6/2008,0/1/1900,1,1,
1968,80025,93.69999695,1,,988,4,FALSE,3,9,FALSE,4/6/2008,0/1/1900,0,1,
1969,80026,93.59999847,1,,989,4,FALSE,3,7,FALSE,4/6/2008,0/1/1900,0,1,
1970,80027,93.69999695,1,,991,4,FALSE,4,8,FALSE,6/6/2008,0/1/1900,0,0,original 7d recording failed
1971,80028,89.90000153,,,993,2,FALSE,5,12,FALSE,5/6/2008,0/1/1900,2,1,
1972,80029,,,,988,4,FALSE,3,11,FALSE,6/6/2008,,0,0,RECORDING FAILS
1973,80030,93.80000305,1,,989,4,FALSE,3,9,FALSE,6/6/2008,0/1/1900,0,0,
1974,80031,93.59999847,1,,991,4,FALSE,4,9,FALSE,7/6/2008,0/1/1900,0,0,
1975,80032,93.69999695,1,,989,4,FALSE,3,11,FALSE,8/6/2008,0/1/1900,0,0,
1976,80033,93.69999695,1,,991,4,FALSE,4,11,FALSE,9/6/2008,0/1/1900,0,0,
1977,80034,93.69999695,1,,992,4,FALSE,5,7,FALSE,13/6/2008,0/1/1900,1,1,
1978,80035,92.80000305,,,994,2,FALSE,4,12,FALSE,14/6/2008,0/1/1900,0,0,PAIR SEEN BUT NO INCUBATION BEHAVIOUR
1979,80036,93.69999695,1,,992,4,FALSE,5,9,FALSE,15/6/2008,0/1/1900,0,0,
1980,80037,93.69999695,1,,993,4,FALSE,4,7,FALSE,15/6/2008,0/1/1900,0,0,
1981,80038,93.69999695,1,,992,4,FALSE,5,11,FALSE,17/6/2008,0/1/1900,0,0,
1982,80039,92.59999847,1,,993,4,FALSE,4,9,FALSE,17/6/2008,0/1/1900,0,0,
1983,80040,93.80000305,1,,993,4,FALSE,4,11,FALSE,19/6/2008,0/1/1900,0,2,
1984,80041,93.80000305,,,996,2,FALSE,5,12,FALSE,20/6/2008,0/1/1900,1,0,
1985,80042,93.69999695,1,,996,4,FALSE,5,7,FALSE,30/6/2008,0/1/1900,0,0,
1986,80043,93.69999695,1,,996,4,FALSE,5,9,FALSE,2/7/2008,0/1/1900,0,2,
1987,80044,93.80000305,1,,996,4,FALSE,5,11,FALSE,4/7/2008,0/1/1900,1,2,
1988,80045,93.80000305,,,998,2,FALSE,5,12,FALSE,6/7/2008,0/1/1900,1,2,
1989,80046,93.69999695,,,999,2,FALSE,2,12,FALSE,7/7/2008,0/1/1900,2,2,POOR LIGHT RUINS A LOT ET = 40
1990,80047,93.59999847,,,1001,2,FALSE,4,12,FALSE,7/7/2008,0/1/1900,2,2,
1991,80048,93.69999695,,,1000,2,FALSE,4,13,FALSE,8/7/2008,0/1/1900,1,2,DAY LATE DUE TO WEATHER
1992,80049,93.80000305,,,1002,2,FALSE,4,12,FALSE,11/7/2008,0/1/1900,1,2,
1993,80050,,,,1003,2,FALSE,5,12,FALSE,11/7/2008,0/1/1900,1,2,CANNOT SEE DUE TO HEAVY MIST
1994,80051,93.69999695,1,,998,4,FALSE,4,7,FALSE,15/7/2008,0/1/1900,1,1,
1995,80052,93.69999695,1,,1001,4,FALSE,4,7,FALSE,16/7/2008,0/1/1900,0,1,
1996,80053,93.69999695,1,,998,4,FALSE,4,9,FALSE,17/7/2008,0/1/1900,1,1,
1997,80054,93.69999695,1,,1001,4,FALSE,4,9,FALSE,18/7/2008,0/1/1900,1,1,
1998,80055,93.69999695,,,998,4,FALSE,4,11,FALSE,19/7/2008,0/1/1900,0,2,
1999,80056,93.40000153,1,,1003,4,FALSE,4,7,FALSE,19/7/2008,0/1/1900,0,2,
2000,80057,93.59999847,1,,1001,4,FALSE,4,11,FALSE,20/7/2008,0/1/1900,0,1,
2001,80058,93.69999695,1,,1003,4,FALSE,4,9,FALSE,21/7/2008,0/1/1900,0,0,
2002,80059,93.69999695,1,,1002,4,FALSE,2,7,FALSE,22/7/2008,0/1/1900,1,1,
2003,80060,92.5,1,,1003,4,FALSE,4,11,FALSE,23/7/2008,0/1/1900,1,0,
2004,80061,93.69999695,1,,1002,4,FALSE,2,9,FALSE,24/7/2008,0/1/1900,0,1,
2005,80062,93,1,,1002,4,FALSE,2,12,FALSE,27/7/2008,0/1/1900,0,0,11D RECORDING = SHORT ET AS BAD TAPE
2006,80063,90.69999695,,,1004,2,FALSE,4,12,FALSE,27/7/2008,0/1/1900,0,0,
2007,80064,93.69999695,,,1005,2,FALSE,4,12,FALSE,1/8/2008,0/1/1900,1,2,
2008,80065,93.69999695,,,1006,2,FALSE,4,13,FALSE,2/8/2008,0/1/1900,0,1,
2009,80066,93.59999847,1,,1004,4,FALSE,1,7,FALSE,3/8/2008,0/1/1900,1,1,
2010,80067,93.69999695,1,,1004,4,FALSE,1,9,FALSE,5/8/2008,0/1/1900,3,2,
2011,80068,93.40000153,1,,1004,4,FALSE,1,11,FALSE,7/8/2008,0/1/1900,0,1,
2012,80069,87.30000305,1,,1005,4,FALSE,4,7,FALSE,9/8/2008,0/1/1900,2,2,
2013,80070,93.69999695,1,,1006,4,FALSE,1,7,FALSE,10/8/2008,0/1/1900,0,3,"PARENTS NOT SEEN, CHICK WAS DEAD"
2014,80071,93.69999695,1,,1005,4,FALSE,4,9,FALSE,11/8/2008,0/1/1900,2,2,
2015,80072,93.69999695,1,,1005,4,FALSE,4,11,FALSE,13/8/2008,0/1/1900,3,4,
2016,80073,,,,1008,2,FALSE,5,14,FALSE,14/8/2008,0/1/1900,0,0,
2074,90001,,,,,,FALSE,,,TRUE,29/4/2009,0/1/1900,1,1,WRONG NEST. SHOULD BE W21
2075,90002,93.19999695,,,1076,2,FALSE,4,14,FALSE,29/4/2009,0/1/1900,1,1,
2076,90003,88.90000153,,,1075,2,FALSE,4,14,FALSE,29/4/2009,0/1/1900,1,1,AGE ESTIMATED FROM HATCH DATE
2077,90004,90.80000305,,,1080,2,FALSE,4,2,FALSE,29/4/2009,0/1/1900,1,1,PARENTS NOT SEEN ONCE
2078,90005,93.69999695,1,,1070,4,FALSE,2,11,FALSE,30/4/2009,0/1/1900,3,1,"EST CHICK AGE 15D, FLEDGED 2 DAYS AFTER"
2079,90006,91.69999695,,,1074,2,FALSE,4,16,FALSE,30/4/2009,0/1/1900,3,1,AGE ESTIMATED FROM HATCH DATE
2080,90007,93.40000153,,,1073,3,FALSE,4,1,FALSE,30/4/2009,0/1/1900,3,2,CHECKED AFTER RECORDING AND ONE EGG HATCHED
2081,90008,93.40000153,,,1072,3,FALSE,5,1,FALSE,30/4/2009,0/1/1900,3,2,CHECKED AFTER RECORDING AND ONE EGG HATCHED
2082,90009,90.40000153,,,1082,2,FALSE,5,9,FALSE,30/4/2009,0/1/1900,3,2,ESTIMATE AGE
