DVDRef,TapeLength,EffectiveLength,MaleFemaleOverlap,FemaleFeedCount,MaleFeedCount,FemaleFeedTime,FemaleNonFeedTime,MaleFeedTime,MaleNonFeedTime
285,93.59999847,91.59999847,1.299999952,10,20,26.29999924,1.200000048,47.40000153,0.699999988
286,93.80000305,90.59999847,0,11,13,45.90000153,1.100000024,36.79999924,5
288,93.69999695,87.80000305,0,9,,65.69999695,2,,0.300000012
289,93.69999695,92.80000305,1.100000024,14,10,48.20000076,1,34.70000076,6.300000191
290,93.80000305,91.5,0,7,6,47.79999924,0.400000006,7.199999809,7.5
291,93.80000305,92,0.600000024,8,4,73.90000153,3.900000095,9.699999809,5.300000191
292,93.40000153,93.40000153,0.300000012,7,6,38.90000153,0.800000012,52.40000153,1.600000024
293,93.69999695,90.09999847,0.300000012,12,16,12.69999981,,2.099999905,2
295,93.69999695,90.59999847,0.200000003,6,9,20.20000076,0.800000012,42,1.5
296,93.69999695,86.19999695,1,6,15,32,1.200000048,17.39999962,4.400000095
297,93.69999695,92.30000305,1.600000024,12,13,44.40000153,,11.19999981,0.899999976
298,93.80000305,85.59999847,0.200000003,4,7,38.79999924,0.200000003,24.89999962,2.799999952
300,93.69999695,91.90000153,0,5,5,52.59999847,1.600000024,34.09999847,1.399999976
302,93.80000305,91.80000305,1.200000048,5,7,53,1.299999952,31.29999924,1.799999952
303,93.69999695,92.5,1.799999952,11,13,51.59999847,,16.5,0.800000012
304,93.80000305,81.19999695,0,10,2,1.5,2.700000048,0.5,0.200000003
306,93.69999695,82.30000305,0,6,3,16.29999924,13.39999962,0.100000001,0.5
307,93.69999695,92.5,0.200000003,25,24,6.300000191,1.799999952,11.30000019,6.599999905
308,93.80000305,89.09999847,0,9,7,71,0.899999976,10,13.30000019
310,93.5,88.69999695,0,14,,47.5,0.5,,
311,91.59999847,88.30000305,0.300000012,13,30,4.900000095,3.5,13.5,0.5
313,93.80000305,92.19999695,0,12,5,47.20000076,3,1,1.299999952
315,93.80000305,85.69999695,0,,5,,2.599999905,2.5,23.79999924
