Frame,Clock,x,y,h,w,label,score
22460,0:14:58,945,415,111,211,Positive,0.97213566
22461,0:14:58,965,489,231,315,Positive,0.65551627
22779,0:15:11,77,589,131,228,Negative,0.6859878
22780,0:15:11,315,509,211,392,Positive,0.9712758
22781,0:15:11,406,349,345,464,Positive,0.6817384
22782,0:15:11,555,306,398,346,Positive,0.89855796
22783,0:15:11,625,229,457,382,Positive,0.9999242
22784,0:15:11,645,128,501,505,Positive,0.92008036
22785,0:15:11,651,122,408,484,Positive,0.99997926
22786,0:15:11,655,130,441,312,Positive,0.99995625
22787,0:15:11,930,146,176,88,Positive,0.5149146
23069,0:15:22,798,255,210,175,Positive,0.97896636
23070,0:15:22,719,173,165,149,Negative,0.8692684
23070,0:15:22,870,192,124,135,Positive,0.81266576
23071,0:15:22,804,379,137,114,Positive,0.90096176
23072,0:15:22,773,261,281,260,Positive,0.9779704
23073,0:15:22,812,308,206,163,Positive,0.89676374
23075,0:15:23,825,149,335,164,Positive,0.992
23089,0:15:23,911,91,161,107,Positive,0.98229057
23876,0:15:55,637,588,132,273,Positive,0.9894455
23877,0:15:55,615,577,143,396,Positive,0.58770967
23878,0:15:55,747,446,274,341,Positive,0.99808264
23879,0:15:55,886,520,200,284,Positive,0.55952567
23880,0:15:55,838,575,145,434,Positive,0.659318
23893,0:15:55,861,163,142,172,Positive,0.9106397
23894,0:15:55,780,193,207,291,Positive,0.7313068
23896,0:15:55,656,298,421,446,Positive,0.75292015
23897,0:15:55,759,384,336,476,Positive,0.61683214
23897,0:15:55,829,589,106,203,Negative,0.9330265
23935,0:15:57,853,580,140,193,Positive,0.5489075
23936,0:15:57,788,475,245,334,Positive,0.5434769
23937,0:15:57,694,381,321,449,Positive,0.9088205
23938,0:15:57,642,287,399,296,Negative,0.55734444
23939,0:15:57,622,174,469,381,Positive,0.9771154
23940,0:15:57,641,69,464,528,Positive,0.999997
23941,0:15:57,648,142,415,324,Positive,0.95130503
23942,0:15:57,695,152,368,379,Positive,0.99999666
23943,0:15:57,668,251,116,163,Negative,0.999534
23943,0:15:57,857,155,190,170,Positive,0.9998543
23967,0:15:58,666,285,186,208,Positive,0.9952114
23977,0:15:59,677,308,134,102,Negative,0.94537306
24033,0:16:01,676,300,116,202,Positive,0.6485268
24236,0:16:09,889,146,81,130,Positive,0.95889217
24241,0:16:09,909,167,102,105,Negative,0.64529437
24242,0:16:09,925,134,115,96,Positive,0.91201806
24248,0:16:09,669,300,106,126,Negative,0.9582328
24248,0:16:09,830,150,201,220,Positive,0.9825848
24249,0:16:09,667,189,255,413,Positive,0.9986966
24250,0:16:10,895,194,193,262,Negative,0.5520815
24250,0:16:10,686,205,223,206,Negative,0.7836824
24251,0:16:10,719,207,293,528,Positive,0.8996587
25748,0:17:09,1006,486,234,144,Negative,0.57841164
25749,0:17:09,903,414,306,289,Negative,0.897681
25750,0:17:10,814,362,353,306,Positive,0.8683807
25751,0:17:10,744,309,393,297,Positive,0.95820254
25752,0:17:10,650,235,458,345,Positive,0.7969565
25753,0:17:10,650,153,479,589,Positive,0.9981501
25754,0:17:10,686,139,443,428,Positive,0.99960476
25755,0:17:10,709,132,333,267,Positive,0.9991714
25756,0:17:10,677,157,305,180,Positive,0.77140826
25757,0:17:10,680,183,247,159,Positive,0.9833361
26015,0:17:20,755,407,105,181,Negative,0.9116099
26225,0:17:29,766,365,133,201,Positive,0.8114561
26226,0:17:29,762,361,132,199,Negative,0.63187575
26252,0:17:30,886,121,89,116,Positive,0.87414753
26382,0:17:35,936,135,114,120,Positive,0.9999182
26386,0:17:35,898,149,174,165,Positive,0.95348454
26387,0:17:35,748,154,357,354,Positive,0.9999714
26388,0:17:35,734,161,358,434,Positive,0.9999639
26389,0:17:35,796,157,506,449,Positive,0.98860675
26390,0:17:35,847,130,434,433,Positive,0.9524092
26392,0:17:35,1041,443,277,212,Negative,0.82516867
28323,0:18:52,595,347,373,376,Positive,0.8773884
28324,0:18:52,569,255,436,444,Positive,0.9270593
28325,0:18:53,629,188,506,334,Positive,0.9888391
28326,0:18:53,659,139,397,331,Positive,0.9929999
28328,0:18:53,757,141,233,330,Positive,0.85125816
28616,0:19:04,934,146,110,86,Positive,0.9697603
28642,0:19:05,787,139,333,168,Positive,0.98616195
28643,0:19:05,799,130,324,160,Positive,0.9905804
28645,0:19:05,811,234,214,170,Positive,0.8374216
28646,0:19:05,844,288,182,133,Positive,0.9625365
28647,0:19:05,861,289,153,125,Positive,0.775656
28648,0:19:05,869,280,161,137,Positive,0.56802994
32045,0:21:21,453,377,343,599,Positive,0.5802658
32862,0:21:54,376,382,338,861,Positive,0.69851416
32863,0:21:54,0,0,720,869,Negative,0.7940425
34964,0:23:18,391,588,132,644,Negative,0.9422018
39293,0:26:11,896,155,98,111,Positive,0.97150075
39294,0:26:11,865,176,107,143,Positive,0.9387291
39295,0:26:11,843,190,165,166,Negative,0.915634
39297,0:26:11,613,304,400,481,Positive,0.6059699
39351,0:26:14,1154,614,106,112,Negative,0.6667103
39352,0:26:14,873,488,232,309,Negative,0.54073954
39353,0:26:14,767,383,332,300,Positive,0.6746117
39354,0:26:14,649,265,437,396,Negative,0.87469095
39355,0:26:14,745,287,400,333,Positive,0.99959666
39356,0:26:14,735,233,350,260,Positive,0.6519722
39357,0:26:14,713,173,444,273,Positive,0.9912582
39358,0:26:14,696,144,390,377,Positive,0.87805104
39359,0:26:14,682,129,323,336,Positive,0.9999795
39361,0:26:14,703,86,175,313,Positive,0.71355027
39394,0:26:15,816,125,210,181,Positive,0.99999964
39395,0:26:15,820,156,151,128,Positive,0.99999654
39401,0:26:16,807,106,153,109,Negative,0.7873712
39818,0:26:32,855,187,149,146,Positive,0.96676576
39819,0:26:32,846,217,233,179,Positive,0.9292543
39820,0:26:32,818,259,332,215,Positive,0.5715213
39821,0:26:32,726,299,418,397,Positive,0.69613147
39822,0:26:32,853,571,149,238,Positive,0.6400709
48826,0:32:33,475,540,180,352,Positive,0.538042
48827,0:32:33,560,411,309,453,Positive,0.9472395
48828,0:32:33,614,302,418,372,Positive,0.99928266
48829,0:32:33,625,251,412,423,Positive,0.99888664
48830,0:32:33,716,199,438,365,Positive,0.98650485
48831,0:32:33,652,139,389,523,Positive,0.9899344
48832,0:32:33,750,131,372,265,Positive,0.9576866
48833,0:32:33,769,133,350,211,Positive,0.98906004
48836,0:32:33,765,127,231,261,Positive,0.6536849
48846,0:32:33,840,394,139,132,Negative,0.9143173
48848,0:32:33,910,130,91,152,Negative,0.86653346
49249,0:32:49,803,217,223,174,Negative,0.77734536
49250,0:32:50,656,181,203,428,Negative,0.8255932
49251,0:32:50,727,131,391,288,Positive,0.9999956
49252,0:32:50,785,127,373,276,Positive,0.976985
49253,0:32:50,807,131,364,228,Positive,0.9279907
49254,0:32:50,811,166,301,240,Positive,0.9034307
49283,0:32:51,854,112,231,180,Negative,0.9267508
49285,0:32:51,672,48,546,491,Positive,0.982398
49286,0:32:51,894,113,607,372,Positive,0.7772894
49286,0:32:51,704,149,403,374,Positive,0.60866034
49287,0:32:51,795,234,486,481,Positive,0.9294489
49288,0:32:51,954,593,127,298,Positive,0.56562984
49288,0:32:51,843,317,118,105,Positive,0.995365
51549,0:34:21,1013,545,175,267,Positive,0.8348175
51550,0:34:22,885,467,248,299,Positive,0.961847
51551,0:34:22,717,401,300,313,Positive,0.89694285
51551,0:34:22,878,495,144,200,Positive,0.949221
51552,0:34:22,675,348,342,285,Positive,0.606866
51553,0:34:22,608,298,383,295,Positive,0.67934966
51554,0:34:22,612,250,334,393,Positive,1.0
51555,0:34:22,606,130,424,561,Positive,0.9959745
51556,0:34:22,674,108,350,263,Positive,0.99619293
51557,0:34:22,635,121,393,362,Positive,0.99826175
51558,0:34:22,649,109,367,365,Positive,0.93111026
51559,0:34:22,654,131,253,327,Positive,0.53803796
51561,0:34:22,653,223,120,118,Negative,1.0
51561,0:34:22,857,114,185,207,Positive,0.9633972
51563,0:34:22,646,161,318,326,Positive,0.9475257
51564,0:34:22,759,162,204,351,Positive,0.9222998
51565,0:34:22,911,85,238,132,Negative,0.8913982
51567,0:34:22,755,155,367,410,Positive,0.96444273
51942,0:34:37,877,130,79,135,Positive,0.994445
51948,0:34:37,732,140,549,548,Positive,0.9896483
51949,0:34:37,620,412,308,397,Positive,0.7859415
51952,0:34:38,427,646,74,126,Negative,0.5288691
51953,0:34:38,245,623,97,304,Positive,0.5904987
51954,0:34:38,218,501,218,281,Positive,0.6242792
51957,0:34:38,229,418,302,434,Negative,0.574801
51959,0:34:38,235,298,413,610,Positive,0.8877674
51961,0:34:38,481,342,275,304,Positive,0.5616161
51962,0:34:38,361,169,408,356,Negative,0.6806652
51963,0:34:38,486,245,392,203,Positive,0.8316163
51964,0:34:38,524,222,334,261,Positive,0.6456635
51965,0:34:38,587,124,387,354,Positive,0.95305496
51966,0:34:38,626,98,316,175,Positive,0.97633207
51967,0:34:38,651,87,295,392,Positive,0.9798753
51968,0:34:38,783,78,268,358,Positive,0.99991894
51968,0:34:38,667,93,249,312,Positive,0.9999999
51969,0:34:38,671,50,428,417,Positive,0.999747
51970,0:34:38,656,0,495,444,Positive,0.9999999
51971,0:34:38,682,42,557,482,Positive,0.9999976
51972,0:34:38,684,121,578,561,Positive,0.9776919
51974,0:34:38,883,214,501,397,Positive,0.6191178
51979,0:34:39,838,390,145,145,Negative,0.9999982
51979,0:34:39,1033,243,148,105,Negative,0.6639387
52041,0:34:41,794,271,243,192,Positive,0.65123636
52073,0:34:42,753,130,407,295,Positive,0.90909827
52075,0:34:43,648,146,445,540,Positive,0.74880546
52076,0:34:43,645,213,356,355,Negative,0.5397821
52077,0:34:43,661,142,359,436,Positive,0.9688729
52079,0:34:43,791,413,99,155,Positive,0.5840486
52173,0:34:46,862,210,260,120,Positive,0.7369808
52174,0:34:46,652,157,357,500,Positive,0.98655605
52175,0:34:47,708,175,370,461,Positive,0.98549867
52176,0:34:47,689,129,380,402,Positive,0.9327487
52177,0:34:47,728,75,424,237,Positive,0.858632
52178,0:34:47,837,127,72,224,Negative,0.7069413
52230,0:34:49,935,228,187,74,Negative,0.5389736
52235,0:34:49,905,117,205,131,Negative,0.56322575
52236,0:34:49,741,51,504,348,Positive,1.0
52237,0:34:49,690,51,459,443,Positive,0.9929507
