Frame,Clock,x,y,h,w,label,score,Events,Sex,Note
28616,0:19:04,934,146,110,86,Positive,0.9697603,Enter,F,
28642,0:19:05,787,139,333,168,Positive,0.98616195,Enter,F,
28643,0:19:05,799,130,324,160,Positive,0.9905804,Enter,F,
28645,0:19:05,811,234,214,170,Positive,0.8374216,Enter,F,
28646,0:19:05,844,288,182,133,Positive,0.9625365,Enter,F,
28647,0:19:05,861,289,153,125,Positive,0.775656,Enter,F,
28648,0:19:05,869,280,161,137,Positive,0.56802994,Enter,F,
32045,0:21:21,453,377,343,599,Positive,0.5802658,Fly,,
32862,0:21:54,376,382,338,861,Positive,0.69851416,Fly,,
32863,0:21:54,0,0,720,869,Negative,0.7940425,Fly,,
34964,0:23:18,391,588,132,644,Negative,0.9422018,Fly,,
39293,0:26:11,896,155,98,111,Positive,0.97150075,Exit,F,
39294,0:26:11,865,176,107,143,Positive,0.9387291,Exit,F,
39295,0:26:11,843,190,165,166,Negative,0.915634,Exit,F,
39297,0:26:11,613,304,400,481,Positive,0.6059699,Exit,F,
39351,0:26:14,1154,614,106,112,Negative,0.6667103,Enter,M,
39352,0:26:14,873,488,232,309,Negative,0.54073954,Enter,M,
39353,0:26:14,767,383,332,300,Positive,0.6746117,Enter,M,
39354,0:26:14,649,265,437,396,Negative,0.87469095,Enter,M,
39355,0:26:14,745,287,400,333,Positive,0.99959666,Enter,M,
39356,0:26:14,735,233,350,260,Positive,0.6519722,Enter,M,
39357,0:26:14,713,173,444,273,Positive,0.9912582,Enter,M,
39358,0:26:14,696,144,390,377,Positive,0.87805104,Enter,M,
39359,0:26:14,682,129,323,336,Positive,0.9999795,Enter,M,
39361,0:26:14,703,86,175,313,Positive,0.71355027,Enter,M,
39394,0:26:15,816,125,210,181,Positive,0.99999964,Enter,M,
39395,0:26:15,820,156,151,128,Positive,0.99999654,Enter,M,
39401,0:26:16,807,106,153,109,Negative,0.7873712,Enter,M,
39818,0:26:32,855,187,149,146,Positive,0.96676576,Exit,M,
